NIS code;Woonplaats;Mannen;Vrouwen;Totaal
72039;Houthalen-Helchteren;15.248;15.302;30.550
72041;Dilsen-Stokkem;10.297;10.396;20.693
72042;Oudsbergen;11.929;11.686;23.615
72043;Pelt;16.555;16.521;33.076
73000;Arrondissement Tongeren;102.176;102.767;204.943
73001;Alken;5.803;5.823;11.626
73006;Bilzen;16.078;16.399;32.477
73009;Borgloon;5.510;5.500;11.010
73022;Heers;3.668;3.669;7.337
73028;Herstappe;47;32;79
73032;Hoeselt;4.833;4.897;9.730
73040;Kortessem;4.228;4.209;8.437
73042;Lanaken;13.013;12.871;25.884
73066;Riemst;8.392;8.367;16.759
73083;Tongeren;15.367;15.775;31.142
73098;Wellen;3.687;3.667;7.354
73107;Maasmechelen;19.457;19.476;38.933
73109;Voeren;2.093;2.082;4.175
80000;Provincie Luxemburg;142.710;144.042;286.752
81000;Arrondissement Aarlen;31.389;31.607;62.996
81001;Aarlen;15.000;15.081;30.081
81003;Attert;2.820;2.826;5.646
81004;Aubange;8.521;8.625;17.146
81013;Martelange;946;911;1.857
81015;Messancy;4.102;4.164;8.266
82000;Arrondissement Bastenaken;24.505;24.578;49.083
82003;Bastenaken;8.091;8.185;16.276
82005;Bertogne;1.843;1.813;3.656
82009;Fauvillers;1.149;1.170;2.319
82014;Houffalize;2.626;2.581;5.207
82032;Vielsalm;3.917;3.969;7.886
82036;Vaux-sur-Sûre;2.846;2.888;5.734
82037;Gouvy;2.722;2.675;5.397
82038;Sainte-Ode;1.311;1.297;2.608
83000;Arrondissement Marche-en-Famenne;28.337;28.434;56.771
83012;Durbuy;5.673;5.785;11.458
83013;Erezée;1.665;1.602;3.267
83028;Hotton;2.794;2.841;5.635
83031;La Roche-en-Ardenne;2.116;2.076;4.192
83034;Marche-en-Famenne;8.679;8.912;17.591
83040;Nassogne;2.854;2.714;5.568
83044;Rendeux;1.340;1.301;2.641
83049;Tenneville;1.400;1.448;2.848
83055;Manhay;1.816;1.755;3.571
84000;Arrondissement Neufchâteau;31.745;32.018;63.763
84009;Bertrix;4.388;4.456;8.844
84010;Bouillon;2.676;2.751;5.427
84016;Daverdisse;689;693;1.382
84029;Herbeumont;853;796;1.649
84033;Léglise;2.859;2.694;5.553
84035;Libin;2.618;2.627;5.245
84043;Neufchâteau (Neufchâteau);3.893;3.902;7.795
84050;Paliseul;2.687;2.705;5.392
84059;Saint-Hubert;2.747;2.858;5.605
84068;Tellin;1.211;1.232;2.443
84075;Wellin;1.526;1.582;3.108
84077;Libramont-Chevigny;5.598;5.722;11.320
85000;Arrondissement Virton;26.734;27.405;54.139
85007;Chiny;2.623;2.603;5.226
85009;Etalle;2.988;2.973;5.961
85011;Florenville;2.731;2.863;5.594
85024;Meix-devant-Virton;1.376;1.434;2.810
85026;Musson;2.291;2.368;4.659
85034;Saint-Léger (Virton);1.793;1.863;3.656
85039;Tintigny;2.149;2.153;4.302
85045;Virton;5.537;5.804;11.341
85046;Habay;4.205;4.272;8.477
85047;Rouvroy;1.041;1.072;2.113
90000;Provincie Namen;243.019;252.813;495.832
91000;Arrondissement Dinant;54.892;56.394;111.286
91005;Anhée;3.490;3.653;7.143
91013;Beauraing;4.442;4.715;9.157
91015;Bièvre;1.674;1.688;3.362
91030;Ciney;8.014;8.692;16.706
91034;Dinant;6.548;6.826;13.374
91054;Gedinne;2.299;2.353;4.652
91059;Hamois;3.654;3.710;7.364
91064;Havelange;2.600;2.637;5.237
91072;Houyet;2.452;2.535;4.987
91103;Onhaye;1.633;1.597;3.230
91114;Rochefort;6.181;6.390;12.571
91120;Somme-Leuze;2.906;2.893;5.799
91141;Yvoir;4.541;4.568;9.109
91142;Hastière;3.129;2.887;6.016
91143;Vresse-sur-Semois;1.329;1.250;2.579
92000;Arrondissement Namen;155.471;162.760;318.231
92003;Andenne;13.419;14.154;27.573
92006;Assesse;3.558;3.532;7.090
92035;Eghezée;8.049;8.399;16.448
92045;Floreffe;3.979;4.169;8.148
